75,5.64E+04
75,3.29E+04
75,5.64E+04
75,3.29E+04
75,4.08E+04
75,3.76E+04
75,1.33E+04
75,9.63E+03
75,1.88E+04
75,8.79E+03
75,8.39E+03
75,1.42E+04
75,8.56E+03
75,6.33E+03
75,1.03E+04
75,7.57E+03
75,1.02E+04
75,1.13E+04
75,8.27E+03
75,8.43E+03
75,1.42E+04
75,6.32E+03
75,8.89E+03
75,1.13E+04
75,1.60E+04
75,1.60E+04
75,6.50E+03
285,9.97E+04
285,6.68E+04
285,4.76E+04
285,6.79E+04
285,3.33E+04
285,4.65E+04
285,4.38E+04
285,2.60E+04
285,4.21E+04
285,5.30E+04
285,4.83E+04
285,4.80E+04
285,3.21E+04
285,2.71E+04
285,6.66E+04
285,3.61E+04
540,1.03E+05
540,5.54E+04
540,6.00E+04
540,7.20E+04
540,6.89E+04
540,3.36E+04
540,4.19E+04
540,5.96E+04
540,5.75E+04
540,8.69E+04
540,6.66E+04
540,3.06E+04
540,4.50E+04