days_adj,levels,log_value,days,age
45.5,1942.602,7.571783591,3.5,y
49,1782.873,7.485981387,7,y
63,9091.868,9.115135667,21,y
105,4902.509,8.497502394,63,y
217,198494.1,12.19851466,175,y
185.5,24205.37,10.09432979,3.5,o
189,28633.62,10.26233683,7,o
203,63789.76,11.06334795,21,o
245,14796.08,9.60211756,63,o
357,51229.33,10.8440675,175,o
45.5,3731.989,8.224696614,3.5,y
49,3637.54,8.199062908,7,y
63,6915.056,8.841456342,21,y
105,755.9902,6.628028413,63,y
217,186870.1,12.138169,175,y
185.5,40408.71,10.60680063,3.5,o
189,27883.42,10.23578753,7,o
203,114611.1,11.64929994,21,o
245,41449.07,10.63222072,63,o
357,254456.9,12.44688675,175,o
45.5,1187.162,7.079320864,3.5,y
49,3007.74,8.008944245,7,y
63,675.8681,6.515997939,21,y
105,2410.757,7.787696085,63,y
217,144454.2,11.88071778,175,y
185.5,53007.42,10.87818718,3.5,o
189,36065.8,10.49310033,7,o
203,46735.26,10.75225419,21,o
245,35529.64,10.47812256,63,o
357,140253.3,11.85120535,175,o
45.5,140122.9,11.85027517,3.5,y
49,75555.35,11.23262078,7,y
63,93434.61,11.44501711,21,y
105,157750.7,11.96877122,63,y
217,154109.4,11.94541802,175,y
185.5,298255,12.6057041,3.5,o
189,63275.93,11.05526028,7,o
203,121753.7,11.70975543,21,o
245,182630.6,12.11522081,63,o
357,258508.8,12.46268501,175,o
45.5,63039.14,11.05151108,3.5,y
49,13332.23,9.497939691,7,y
63,115595.6,11.65785317,21,y
105,203855.5,12.22516669,63,y
217,184257,12.1240868,175,y
185.5,127964.1,11.75950503,3.5,o
189,71960.18,11.18386819,7,o
203,101815.4,11.53091665,21,o
245,262474.2,12.47790807,63,o
357,203734.7,12.22457394,175,o
45.5,11370.36,9.338765249,3.5,y
49,18934.39,9.848735124,7,y
63,77701.72,11.26063267,21,y
105,151116.5,11.92580634,63,y
217,169371.4,12.03984922,175,y
185.5,64095.83,11.06813459,3.5,o
189,57216.72,10.95460144,7,o
203,168706.8,12.03591758,21,o
245,144018,11.87769357,63,o
357,257146.5,12.45740124,175,o
217,152569,11.93537223,175,y
357,164153.8,12.00855907,175,o